qty,time
10,1240751
20,2351784
30,4255643
40,4677860
50,7468381
60,5761726
70,2567438
80,2379496
90,2252609
100,2210473
110,2306324
120,2467780
130,2663734
140,2868882
150,3073656
160,3311695
170,3487447
180,3689575
190,3891096
200,4118863
210,4361856
220,4510357
230,4714651
240,4919236
250,5142273
260,5329220
270,5525642
280,5731694
290,6069687
300,6167237
310,6371912
320,6575160
330,6758676
340,6958287
350,7400302
360,7375265
370,7576149
380,7837889
390,7992253
400,8370823
410,8416931
420,11437882
430,9032433
440,9212071
450,9242935
460,9420542
470,9675313
480,9853868
490,10205356
500,10254889
510,10492427
520,10703083
530,10892806
540,11110730
550,11283153
560,11737724
570,11671783
580,11972637
590,12374229
600,16710388
610,13178466
620,12941891
630,12938923
640,13161602
650,13371447
660,13518992
670,13752501
680,13959602
690,14164417
700,14636989
710,14579307
720,14780340
730,15064492
740,18117829
750,17033803
760,15696135
770,15814585
780,16004081
790,16247429
800,16422205
810,16627208
820,17081148
830,17152907
840,17296150
850,17721593
860,19233293
870,19355005
880,18507562
890,18276955
900,18516976
910,18669845
920,18948040
930,19308484
940,19272429
950,19513022
960,20107484
970,24042120
980,20238514
990,20287761
1000,20580833
